id,volume,rel_path,src,score,pages,signals
lni329/31-BIOSIG_2022_paper_65,lni329,lni329/31-BIOSIG_2022_paper_65.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni329\31-BIOSIG_2022_paper_65.pdf,6.0,,"{""source_vocab"": 1, ""artifact_vocab"": 2, ""prog_lang"": 2}"
lni105/247,lni105,lni105/247.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni105\247.pdf,3.0,,"{""artifact_vocab"": 3}"
lni180/514,lni180,lni180/514.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni180\514.pdf,9.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni162/183,lni162,lni162/183.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni162\183.pdf,10.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni352/Brincoveanu_et_al._Artificial_Intelligence_Based_Assistance_Systems,lni352,lni352/Brincoveanu_et_al._Artificial_Intelligence_Based_Assistance_Systems.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni352\Brincoveanu_et_al._Artificial_Intelligence_Based_Assistance_Systems.pdf,6.0,,"{""source_vocab"": 1, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni337/05_01_03_Weiss,lni337,lni337/05_01_03_Weiss.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni337\05_01_03_Weiss.pdf,4.0,,"{""artifact_vocab"": 3, ""prog_lang"": 1}"
lni63/GI-Proceedings.63-17,lni63,lni63/GI-Proceedings.63-17.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni63\GI-Proceedings.63-17.pdf,3.0,,"{""source_vocab"": 1, ""artifact_vocab"": 1}"
lni13/49_In-houseDevelUISforTradUni,lni13,lni13/49_In-houseDevelUISforTradUni.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni13\49_In-houseDevelUISforTradUni.pdf,18.0,,"{""availability"": 2, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni220/434,lni220,lni220/434.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni220\434.pdf,12.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 3}"
lni106/75,lni106,lni106/75.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni106\75.pdf,7.0,,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni160/193,lni160,lni160/193.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni160\193.pdf,5.0,,"{""source_vocab"": 1, ""artifact_vocab"": 3}"
lni292/26,lni292,lni292/26.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni292\26.pdf,10.0,,"{""repo_url"": 1, ""source_vocab"": 1, ""artifact_vocab"": 3}"
lni106/305,lni106,lni106/305.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni106\305.pdf,14.0,,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 2, ""artifact_vocab"": 1}"
lni154/401,lni154,lni154/401.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni154\401.pdf,0.0,,{}
lni331/B9-4,lni331,lni331/B9-4.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni331\B9-4.pdf,19.0,,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni303/WM2019-73-75,lni303,lni303/WM2019-73-75.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni303\WM2019-73-75.pdf,0.0,,{}
lni161/15,lni161,lni161/15.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni161\15.pdf,5.0,,"{""source_vocab"": 1, ""artifact_vocab"": 3}"
lni314/O1-4,lni314,lni314/O1-4.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni314\O1-4.pdf,7.0,,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni374/rvi2025-101,lni374,lni374/rvi2025-101.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni374\rvi2025-101.pdf,9.0,,"{""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 3}"
316/DELFI_2021_181-186,316,316/DELFI_2021_181-186.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\316\DELFI_2021_181-186.pdf,3.0,,"{""artifact_vocab"": 2, ""prog_lang"": 1}"
lni371/PVM2025_7,lni371,lni371/PVM2025_7.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni371\PVM2025_7.pdf,7.0,,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni342_einzel-PDFs/GI_Proceedings_342_Digital_Paper_1,lni342_einzel-PDFs,lni342_einzel-PDFs/GI_Proceedings_342_Digital_Paper_1.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni342_einzel-PDFs\GI_Proceedings_342_Digital_Paper_1.pdf,15.0,,"{""availability"": 2, ""source_vocab"": 2, ""artifact_vocab"": 3}"
lni195/163,lni195,lni195/163.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni195\163.pdf,8.0,,"{""source_vocab"": 3, ""artifact_vocab"": 1, ""prog_lang"": 1}"
lni154/492,lni154,lni154/492.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni154\492.pdf,1.0,,"{""artifact_vocab"": 1}"
lni84/GI-Proceedings-84-11,lni84,lni84/GI-Proceedings-84-11.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni84\GI-Proceedings-84-11.pdf,2.0,,"{""artifact_vocab"": 2}"
lni194/191,lni194,lni194/191.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni194\191.pdf,0.0,,{}
lni132/377,lni132,lni132/377.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni132\377.pdf,10.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni133/145,lni133,lni133/145.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni133\145.pdf,6.0,,"{""source_vocab"": 1, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni49/GI.Proceedings.49-81,lni49,lni49/GI.Proceedings.49-81.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni49\GI.Proceedings.49-81.pdf,1.0,,"{""artifact_vocab"": 1}"
lni316/DELFI_2021_361-362,lni316,lni316/DELFI_2021_361-362.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni316\DELFI_2021_361-362.pdf,1.0,,"{""artifact_vocab"": 1}"
lni372/env2025_02,lni372,lni372/env2025_02.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni372\env2025_02.pdf,16.0,,"{""availability"": 2, ""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni352/KB_Digitalization_of_Cultural_Heritage,lni352,lni352/KB_Digitalization_of_Cultural_Heritage.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni352\KB_Digitalization_of_Cultural_Heritage.pdf,24.0,,"{""repo_url"": 1, ""availability"": 2, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 2}"
lni30/GI-Proceedings.30-5,lni30,lni30/GI-Proceedings.30-5.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni30\GI-Proceedings.30-5.pdf,0.0,,{}
lni91/GI-Proceedings-91-14,lni91,lni91/GI-Proceedings-91-14.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni91\GI-Proceedings-91-14.pdf,6.0,,"{""source_vocab"": 1, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni209/19,lni209,lni209/19.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni209\19.pdf,1.0,,"{""artifact_vocab"": 1}"
lni307/C6-7,lni307,lni307/C6-7.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni307\C6-7.pdf,8.0,,"{""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni41/GI-Proceedings.41-3,lni41,lni41/GI-Proceedings.41-3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni41\GI-Proceedings.41-3.pdf,4.0,,"{""source_vocab"": 1, ""artifact_vocab"": 2}"
lni322/DELFI_2022_031,lni322,lni322/DELFI_2022_031.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni322\DELFI_2022_031.pdf,5.0,,"{""source_vocab"": 1, ""artifact_vocab"": 3}"
lni51/GI-Proceedings.51-20,lni51,lni51/GI-Proceedings.51-20.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni51\GI-Proceedings.51-20.pdf,9.0,,"{""source_vocab"": 3, ""artifact_vocab"": 2, ""prog_lang"": 1}"
lni311/A3-21,lni311,lni311/A3-21.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni311\A3-21.pdf,12.0,,"{""availability"": 2, ""source_vocab"": 1, ""artifact_vocab"": 2}"
lni344/GIL_2024_Geil_257-262,lni344,lni344/GIL_2024_Geil_257-262.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni344\GIL_2024_Geil_257-262.pdf,2.0,,"{""source_vocab"": 1}"
lni110/16,lni110,lni110/16.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni110\16.pdf,4.0,,"{""source_vocab"": 1, ""artifact_vocab"": 2}"
lni165/321,lni165,lni165/321.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni165\321.pdf,1.0,,"{""artifact_vocab"": 1}"
lni187/91,lni187,lni187/91.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni187\91.pdf,9.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni128/17,lni128,lni128/17.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni128\17.pdf,3.0,,"{""source_vocab"": 1, ""artifact_vocab"": 1}"
lni168/107,lni168,lni168/107.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni168\107.pdf,6.0,,"{""source_vocab"": 1, ""artifact_vocab"": 2, ""prog_lang"": 2}"
lni133/481,lni133,lni133/481.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni133\481.pdf,23.0,,"{""repo_url"": 1, ""availability"": 2, ""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 3}"
lni181/61,lni181,lni181/61.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni181\61.pdf,2.0,,"{""artifact_vocab"": 2}"
lni327/PVM2022_5,lni327,lni327/PVM2022_5.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni327\PVM2022_5.pdf,13.0,,"{""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3}"
lni208/1491,lni208,lni208/1491.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni208\1491.pdf,12.0,,"{""availability"": 1, ""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni208/585,lni208,lni208/585.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni208\585.pdf,2.0,,"{""source_vocab"": 1}"
lni158/23,lni158,lni158/23.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni158\23.pdf,2.0,,"{""artifact_vocab"": 2}"
lni177/255,lni177,lni177/255.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni177\255.pdf,18.0,,"{""availability"": 2, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni75/GI-Proceedings.75-16,lni75,lni75/GI-Proceedings.75-16.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni75\GI-Proceedings.75-16.pdf,9.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni331/C1-3,lni331,lni331/C1-3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni331\C1-3.pdf,19.0,,"{""repo_url"": 1, ""availability"": 1, ""source_vocab"": 2, ""artifact_vocab"": 3, ""prog_lang"": 3}"
lni318/swm2021-11,lni318,lni318/swm2021-11.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni318\swm2021-11.pdf,25.0,,"{""repo_url"": 1, ""availability"": 1, ""license"": 2, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni154/cd-2413,lni154,lni154/cd-2413.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni154\cd-2413.pdf,5.0,,"{""availability"": 1, ""artifact_vocab"": 1}"
lni352/KB_4th_International_Workshop_on_Digital_Forensics,lni352,lni352/KB_4th_International_Workshop_on_Digital_Forensics.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni352\KB_4th_International_Workshop_on_Digital_Forensics.pdf,30.0,,"{""repo_url"": 2, ""availability"": 2, ""source_vocab"": 3, ""artifact_vocab"": 3, ""prog_lang"": 3}"
lni154/cd-2307,lni154,lni154/cd-2307.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni154\cd-2307.pdf,3.0,,"{""source_vocab"": 1, ""prog_lang"": 1}"
lni21/GI-Proceedings.21-2,lni21,lni21/GI-Proceedings.21-2.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni21\GI-Proceedings.21-2.pdf,13.0,,"{""availability"": 1, ""source_vocab"": 3, ""artifact_vocab"": 3}"
lni94/GI-Proceedings-94-1,lni94,lni94/GI-Proceedings-94-1.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni94\GI-Proceedings-94-1.pdf,3.0,,"{""artifact_vocab"": 3}"
lni329/23-BIOSIG_2022_paper_4,lni329,lni329/23-BIOSIG_2022_paper_4.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni329\23-BIOSIG_2022_paper_4.pdf,14.0,,"{""repo_url"": 1, ""source_vocab"": 2, ""artifact_vocab"": 2, ""prog_lang"": 3}"
lni307/A6-0,lni307,lni307/A6-0.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni307\A6-0.pdf,4.0,,"{""source_vocab"": 1, ""artifact_vocab"": 2}"
lni338/45,lni338,lni338/45.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni338\45.pdf,3.0,,"{""artifact_vocab"": 3}"
lni48/GI.Band.48-15,lni48,lni48/GI.Band.48-15.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni48\GI.Band.48-15.pdf,7.0,,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni365/AKWI2025_fullpaper_10,lni365,lni365/AKWI2025_fullpaper_10.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni365\AKWI2025_fullpaper_10.pdf,7.0,,"{""source_vocab"": 2, ""artifact_vocab"": 3}"
lni165/286,lni165,lni165/286.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni165\286.pdf,10.0,,"{""availability"": 1, ""source_vocab"": 1, ""artifact_vocab"": 3, ""prog_lang"": 1}"
lni108/3,lni108,lni108/3.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni108\3.pdf,5.0,,"{""source_vocab"": 2, ""artifact_vocab"": 1}"
lni192/355,lni192,lni192/355.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni192\355.pdf,1.0,,"{""artifact_vocab"": 1}"
lni177/168,lni177,lni177/168.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni177\168.pdf,9.0,,"{""source_vocab"": 3, ""artifact_vocab"": 3}"
lni158/77,lni158,lni158/77.pdf,\\DC01\Archiv\Publikationen\LNI\Proceedings\lni158\77.pdf,0.0,,{}
